# MEAN_SAMPLE_SIZE = 250665
# TOTAL_GENES = 15721
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
GP_3.1                         15721     0.0928      0.104     0.0106   1.2617e-18
GP_3.2                         15721     0.0925      0.102     0.0109   8.5751e-18
GP_3.3                         15721     0.0971      0.107     0.0108   1.3691e-19
GP_3.4                         15721     0.0975      0.107     0.0109    1.797e-19
GP_3.5                         15721      0.088     0.0973     0.0108   1.8993e-16
GP_3.6                         15721     0.0884     0.0974     0.0109   2.0317e-16
GP_3.7                         15721     0.0816       0.09     0.0108   2.3061e-14
GP_3.8                         15721     0.0974      0.106      0.011   4.4151e-19
GP_3.9                         15721      0.088     0.0975     0.0108   1.8171e-16
GP_4.1                         15721     0.0406     0.0434     0.0112   0.00013652
GP_4.2                         15721     0.0553     0.0587     0.0112   3.9939e-07
GP_4.3                         15721     0.0394      0.041     0.0114   0.00028079
GP_4.4                         15721     0.0351     0.0379      0.011   0.00070971
GP_4.5                         15721     0.0274     0.0301     0.0108    0.0055744
GP_5.1                         15721     0.0331     0.0367     0.0107   0.00097749
GP_5.2                         15721     0.0191     0.0212     0.0107     0.037043
GP_7.1                         15721   -0.00944    -0.0102      0.011      0.80474
GP_7.2                         15721    -0.0018   -0.00196     0.0109      0.56565
GP_7.3                         15721    -0.0158     -0.017     0.0111       0.9234
GP_7.4                         15721    0.00487    0.00532     0.0109      0.32738
GP_7.5                         15721    0.00544    0.00596     0.0109       0.3083
GP_7.6                         15721   0.000733   0.000794      0.011       0.4734
GP_8.1                         15721   -0.00619    -0.0067      0.011      0.71351
GP_8.4                         15721    0.00345    0.00375     0.0109      0.37578
HC_1.1                         15721     0.0766     0.0818     0.0111   3.2163e-12
HC_1.10                        15721      0.073     0.0783     0.0111   2.3832e-11
HC_1.11                        15721     0.0735     0.0795      0.011   1.4915e-11
HC_1.12                        15721     0.0777     0.0827     0.0112      2.5e-12
HC_1.13                        15721     0.0764     0.0812     0.0113   6.0606e-12
HC_1.14                        15721     0.0768     0.0839     0.0109   1.0744e-12
HC_1.15                        15721      0.075     0.0798     0.0113   1.3948e-11
HC_1.17                        15721     0.0627     0.0678      0.011   6.7691e-09
HC_1.18                        15721      0.066     0.0705     0.0112   1.9275e-09
HC_1.19                        15721     0.0653     0.0694     0.0112   2.9524e-09
HC_1.20                        15721     0.0692     0.0744     0.0111   2.2612e-10
HC_1.21                        15721     0.0652     0.0698     0.0112    2.719e-09
HC_1.22                        15721     0.0796      0.085     0.0111   4.3643e-13
HC_1.23                        15721     0.0629     0.0683     0.0109   4.5459e-09
HC_1.24                        15721     0.0724     0.0779      0.011   2.8689e-11
HC_1.25                        15721     0.0832     0.0884     0.0112   6.6737e-14
HC_1.26                        15721     0.0794     0.0852     0.0111   5.5312e-13
HC_1.27                        15721     0.0837     0.0888     0.0112    4.663e-14
HC_1.4                         15721     0.0788     0.0857     0.0109   3.2182e-13
HC_1.5                         15721     0.0764     0.0829      0.011   2.1405e-12
HC_1.6                         15721     0.0819     0.0891     0.0109   3.4932e-14
HC_1.7                         15721      0.079     0.0846     0.0111   7.2916e-13
HC_1.8                         15721     0.0801     0.0868      0.011   1.7025e-13
HC_1.9                         15721      0.076     0.0824      0.011    2.636e-12
HC_10.1                        15721     0.0147     0.0161     0.0109     0.088211
HC_11.1                        15721    -0.0108     -0.012     0.0107      0.84437
HC_12.1                        15721    0.00106    0.00113     0.0112      0.46236
HC_13.2                        15721     0.0455     0.0485     0.0113   2.8023e-05
HC_13.5                        15721     0.0559       0.06     0.0111    2.496e-07
